,imdb_title_id,weighted_average_vote,total_votes
711,tt0019735,6.4,839
712,tt0019745,6.0,539
713,tt0019746,6.7,169
714,tt0019777,7.0,6900
715,tt0019785,6.4,332
716,tt0019788,5.8,1983
717,tt0019796,6.4,390
718,tt0019798,6.5,261
719,tt0019800,5.9,110
720,tt0019811,6.5,1074
721,tt0019815,6.1,104
722,tt0019823,6.2,1034
723,tt0019824,6.2,651
724,tt0019839,3.1,116
725,tt0019843,7.0,382
726,tt0019850,7.2,481
727,tt0019852,6.8,445
728,tt0019856,6.6,132
729,tt0019884,5.9,255
730,tt0019886,6.6,232
731,tt0019889,6.0,106
732,tt0019901,7.3,2899
733,tt0019909,6.9,132
734,tt0019929,5.2,115
735,tt0019933,5.8,621
736,tt0019935,7.2,687
737,tt0019936,6.7,143
738,tt0019939,6.4,103
739,tt0019945,5.2,117
740,tt0019946,6.1,694
741,tt0019949,6.6,285
742,tt0019957,5.8,112
743,tt0019959,6.8,1521
744,tt0019976,7.2,520
745,tt0019979,5.1,117
746,tt0019983,5.3,289
747,tt0019992,5.8,134
748,tt0019993,5.9,1827
749,tt0020004,6.6,310
750,tt0020011,6.1,110
751,tt0020014,5.9,118
752,tt0020018,5.5,898
753,tt0020025,7.0,178
754,tt0020030,7.0,1139
755,tt0020034,6.1,269
756,tt0020062,6.9,938
757,tt0020075,7.3,214
758,tt0020078,6.7,317
759,tt0020080,6.7,441
760,tt0020081,6.1,381
761,tt0020092,6.7,619
762,tt0020099,6.8,100
763,tt0020103,6.0,429
764,tt0020112,7.1,1924
765,tt0020114,6.5,169
766,tt0020122,7.8,1144
767,tt0020126,6.0,431
768,tt0020142,6.2,2555
769,tt0020143,6.2,1148
770,tt0020144,5.6,385
771,tt0020163,7.4,2649
772,tt0020166,5.7,151
773,tt0020182,7.0,111
774,tt0020193,7.3,246
775,tt0020197,6.7,187
776,tt0020198,6.1,562
777,tt0020210,5.2,528
778,tt0020217,5.7,169
779,tt0020223,6.5,656
780,tt0020228,6.8,143
781,tt0020230,7.3,726
782,tt0020232,7.3,332
783,tt0020238,5.8,259
784,tt0020247,6.0,603
785,tt0020253,6.9,315
786,tt0020269,7.1,1353
787,tt0020286,6.5,710
788,tt0020293,6.7,181
789,tt0020298,7.1,3049
790,tt0020305,5.5,353
791,tt0020320,6.8,157
792,tt0020332,6.1,691
793,tt0020335,7.2,524
794,tt0020336,6.0,204
795,tt0020344,6.9,102
796,tt0020358,6.1,304
797,tt0020359,5.5,156
798,tt0020364,6.0,191
799,tt0020388,6.1,267
800,tt0020392,6.3,116
801,tt0020402,6.1,245
802,tt0020403,5.8,367
803,tt0020405,6.9,183
804,tt0020410,6.7,489
805,tt0020425,5.5,200
806,tt0020431,5.0,138
807,tt0020439,6.1,602
808,tt0020442,7.0,1811
809,tt0020446,4.9,328
810,tt0020451,7.3,1296
811,tt0020458,6.1,337
812,tt0020461,5.7,115
813,tt0020466,6.5,358
814,tt0020475,7.9,3996
815,tt0020479,6.3,511
816,tt0020480,5.6,135
817,tt0020488,5.9,559
818,tt0020490,5.8,143
819,tt0020492,5.9,522
820,tt0020499,6.6,501
821,tt0020502,6.4,170
822,tt0020510,6.6,261
823,tt0020514,6.6,1232
824,tt0020516,6.1,105
825,tt0020534,5.8,197
826,tt0020538,5.1,475
827,tt0020542,5.3,198
828,tt0020543,6.0,315
829,tt0020547,6.9,112
830,tt0020556,6.8,661
831,tt0020563,6.4,474
832,tt0020570,7.2,882
833,tt0020572,6.0,669
834,tt0020581,6.6,487
835,tt0020585,7.2,359
836,tt0020589,6.6,578
837,tt0020590,6.4,408
838,tt0020608,7.2,216
839,tt0020613,6.3,263
840,tt0020620,5.7,1308
841,tt0020629,8.0,56356
842,tt0020640,7.5,13341
843,tt0020641,6.6,2760
844,tt0020642,6.9,775
845,tt0020656,7.2,382
846,tt0020661,5.1,106
847,tt0020668,6.4,828
848,tt0020670,5.8,161
849,tt0020673,5.4,175
850,tt0020679,6.2,280
851,tt0020686,7.1,1849
852,tt0020690,5.9,209
853,tt0020691,7.2,3312
854,tt0020693,6.0,347
855,tt0020695,6.1,600
856,tt0020697,7.7,13311
857,tt0020701,6.2,410
858,tt0020702,5.4,322
859,tt0020713,5.6,242
860,tt0020724,5.6,117
861,tt0020740,4.7,122
862,tt0020754,6.2,112
863,tt0020758,5.7,339
864,tt0020763,5.7,117
865,tt0020768,7.8,2842
866,tt0020785,5.4,104
867,tt0020793,7.6,989
868,tt0020799,6.1,210
869,tt0020806,6.2,465
870,tt0020814,7.0,189
871,tt0020815,7.2,1602
872,tt0020821,6.5,523
873,tt0020823,6.0,146
874,tt0020827,6.8,2705
875,tt0020828,5.3,325
876,tt0020836,6.5,947
877,tt0020838,5.8,392
878,tt0020842,6.6,734
879,tt0020852,5.3,341
